Date,Open,High,Low,Close,Volume,Adj Close
2016-09-23,1446.069946,1446.069946,1432.310059,1437.52002,000,1437.52002
2016-09-22,1423.349976,1448.050049,1423.349976,1446.01001,000,1446.01001
2016-09-21,1420.22998,1434.709961,1420.140015,1422.660034,000,1422.660034
2016-09-20,1418.75,1424.900024,1415.119995,1418.439941,000,1418.439941
2016-09-19,1407.02002,1421.47998,1407.02002,1419.01001,000,1419.01001
2016-09-16,1415.50,1415.50,1404.02002,1405.310059,000,1405.310059
2016-09-15,1409.890015,1417.640015,1401.50,1416.829956,000,1416.829956
2016-09-14,1412.130005,1418.130005,1407.02002,1409.890015,000,1409.890015
2016-09-13,1418.119995,1427.119995,1410.790039,1410.790039,000,1410.790039
2016-09-12,1426.50,1426.50,1400.199951,1417.359985,000,1417.359985
2016-09-09,1439.77002,1440.880005,1424.910034,1426.560059,000,1426.560059
2016-09-08,1441.140015,1443.209961,1430.530029,1440.030029,000,1440.030029
2016-09-07,1437.920044,1443.459961,1435.73999,1441.52002,000,1441.52002
2016-09-06,1439.380005,1444.719971,1434.170044,1435.189941,000,1435.189941
2016-09-05,1437.469971,1443.219971,1437.469971,1440.76001,000,1440.76001
2016-09-02,1418.25,1437.23999,1418.25,1437.23999,000,1437.23999
2016-09-01,1419.880005,1430.599976,1416.51001,1417.589966,000,1417.589966
2016-08-31,1417.98999,1429.109985,1416.00,1418.140015,000,1418.140015
2016-08-30,1411.97998,1423.50,1411.97998,1418.430054,000,1418.430054
2016-08-29,1410.160034,1411.97998,1400.469971,1411.97998,000,1411.97998
2016-08-26,1403.140015,1414.51001,1397.969971,1411.650024,000,1411.650024
2016-08-25,1411.910034,1411.910034,1401.130005,1405.079956,000,1405.079956
2016-08-24,1406.209961,1419.23999,1396.530029,1412.939941,000,1412.939941
2016-08-23,1392.47998,1408.920044,1392.47998,1406.550049,000,1406.550049
2016-08-22,1393.310059,1403.660034,1387.98999,1391.469971,000,1391.469971
2016-08-19,1403.319946,1405.77002,1386.699951,1393.609985,000,1393.609985
2016-08-18,1392.73999,1405.310059,1392.73999,1403.02002,000,1403.02002
2016-08-17,1406.48999,1411.329956,1389.75,1392.050049,000,1392.050049
2016-08-16,1419.660034,1419.660034,1405.130005,1406.26001,000,1406.26001
2016-08-15,1413.949951,1424.699951,1413.819946,1421.579956,000,1421.579956
2016-08-12,1416.959961,1419.810059,1410.839966,1414.209961,000,1414.209961
2016-08-11,1406.349976,1416.900024,1401.140015,1416.900024,000,1416.900024
2016-08-10,1410.430054,1410.430054,1403.959961,1405.98999,000,1405.98999
2016-08-09,1385.550049,1411.349976,1382.869995,1411.349976,000,1411.349976
2016-08-08,1379.790039,1388.439941,1379.790039,1385.680054,000,1385.680054
2016-08-05,1366.189941,1381.160034,1366.140015,1378.829956,000,1378.829956
2016-08-04,1354.030029,1366.349976,1354.030029,1365.849976,000,1365.849976
2016-08-03,1359.050049,1362.280029,1347.089966,1352.339966,000,1352.339966
2016-08-02,1379.560059,1380.369995,1357.430054,1358.619995,000,1358.619995
2016-08-01,1388.829956,1395.73999,1374.810059,1379.459961,000,1379.459961
2016-07-29,1383.01001,1389.829956,1382.089966,1386.660034,000,1386.660034
2016-07-28,1387.089966,1393.069946,1379.780029,1382.079956,000,1382.079956
2016-07-27,1383.689941,1395.869995,1383.689941,1387.51001,000,1387.51001
2016-07-26,1385.969971,1389.949951,1375.75,1382.72998,000,1382.72998
2016-07-25,1381.26001,1397.030029,1381.26001,1385.969971,000,1385.969971
2016-07-22,1381.300049,1382.079956,1372.160034,1377.469971,000,1377.469971
2016-07-21,1386.300049,1390.459961,1373.420044,1381.699951,000,1381.699951
2016-07-20,1373.650024,1386.719971,1373.650024,1386.589966,000,1386.589966
2016-07-19,1367.459961,1378.719971,1360.790039,1371.900024,000,1371.900024
2016-07-18,1372.530029,1380.060059,1360.119995,1368.25,000,1368.25
2016-07-15,1365.089966,1377.400024,1361.109985,1372.800049,000,1372.800049
2016-07-14,1356.790039,1369.719971,1356.790039,1364.920044,000,1364.920044
2016-07-13,1354.469971,1363.400024,1351.76001,1356.349976,000,1356.349976
2016-07-12,1350.189941,1358.76001,1346.390015,1354.51001,000,1354.51001
2016-07-11,1328.72998,1351.359985,1328.72998,1350.089966,000,1350.089966
2016-07-08,1304.650024,1326.76001,1300.27002,1326.209961,000,1326.209961
2016-07-07,1285.060059,1313.449951,1285.060059,1305.329956,000,1305.329956
2016-07-06,1300.709961,1303.680054,1275.22998,1284.579956,000,1284.579956
2016-07-05,1324.930054,1324.930054,1300.459961,1303.01001,000,1303.01001
